neighborhood,total_businesses,closed,new,turnover_rate,new_business_rate
Meridian Kessler,104,53,27,0.5096,0.2596
Canterbury-Chatard,76,34,27,0.4474,0.3553
Fountain Square,137,61,52,0.4453,0.3796
Garfield Park,45,20,15,0.4444,0.3333
Airport,85,37,20,0.4353,0.2353
Downtown,1191,512,359,0.4299,0.3014
Crown Hill,24,10,8,0.4167,0.3333
Broad Ripple,358,148,75,0.4134,0.2095
Keystone at the Crossing,246,101,63,0.4106,0.2561
Irvington,98,40,31,0.4082,0.3163
Devonshire,37,15,5,0.4054,0.1351
Near Southside,40,16,19,0.4,0.475
Near Eastside,144,56,58,0.3889,0.4028
Near Northside,129,50,35,0.3876,0.2713
Crooked Creek,39,15,14,0.3846,0.359
East Warren,109,41,28,0.3761,0.2569
College Park,157,59,43,0.3758,0.2739
Eagledale,99,37,32,0.3737,0.3232
Castleton,509,186,140,0.3654,0.275
Homecroft,22,8,7,0.3636,0.3182
Fairgrounds,53,19,19,0.3585,0.3585
Glendale,87,31,18,0.3563,0.2069
Augusta / New Augusta,147,52,33,0.3537,0.2245
Butler-Tarkington/Rocky Ripple,54,19,16,0.3519,0.2963
Arlington Woods,60,21,14,0.35,0.2333
Meridian Hills/Williams Creek,23,8,1,0.3478,0.0435
Allisonville,178,60,37,0.3371,0.2079
Christian Park,33,11,15,0.3333,0.4545
Galludet,21,7,9,0.3333,0.4286
East Gate,98,32,23,0.3265,0.2347
St Vincent / Greenbriar,117,38,27,0.3248,0.2308
I-69/Fall Creek,105,34,22,0.3238,0.2095
Northwest High School,34,11,11,0.3235,0.3235
Park 100,125,40,21,0.32,0.168
Edgewood,57,18,16,0.3158,0.2807
International Marketplace,113,35,29,0.3097,0.2566
Eagle Creek,39,12,7,0.3077,0.1795
Glenns Valley,26,8,10,0.3077,0.3846
Ameriplex,20,6,7,0.3,0.35
Nora / Far Northside,135,40,32,0.2963,0.237
Southdale,27,8,4,0.2963,0.1481
Meadows,24,7,4,0.2917,0.1667
Stout Field,45,13,15,0.2889,0.3333
Speedway,72,20,17,0.2778,0.2361
North Central,58,16,21,0.2759,0.3621
Far Eastside,37,10,14,0.2703,0.3784
South Perry,288,75,75,0.2604,0.2604
Park Fletcher,50,13,22,0.26,0.44
Eastside,31,8,9,0.2581,0.2903
Clearwater,39,10,3,0.2564,0.0769
I-65 / South Emerson,114,29,28,0.2544,0.2456
Southeast Warren,67,17,12,0.2537,0.1791
Chapel Hill / Ben Davis,151,38,38,0.2517,0.2517
North Perry,104,26,23,0.25,0.2212
Valley Mills,20,5,11,0.25,0.55
South Franklin,45,11,13,0.2444,0.2889
Millersville,79,19,19,0.2405,0.2405
Snacks / Guion Creek,84,20,21,0.2381,0.25
Near Westside,63,15,16,0.2381,0.254
Linden Wood,30,7,7,0.2333,0.2333
Lawrence-Fort Ben-Oaklandon,96,22,28,0.2292,0.2917
University Heights,27,6,9,0.2222,0.3333
Lawrence,125,27,37,0.216,0.296
Garden City,58,11,10,0.1897,0.1724
Martindale - Brightwood,22,4,10,0.1818,0.4545
Near NW - Riverside,23,4,8,0.1739,0.3478
Mars Hill,20,3,6,0.15,0.3
Raymond Park,47,6,11,0.1277,0.234
Beech Grove,55,7,12,0.1273,0.2182
